# SNIa relative magnitude posterior from GP 
#  redshifts : 0.295, 0.311, 0.35, 0.44, 0.57, 0.6, 0.73, 0.745, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   2.1475170e+01    2.1692380e+01    2.1968438e+01    2.2562781e+01    2.3264171e+01    2.3329593e+01    2.3843718e+01    2.3902372e+01    2.6954866e+01
   2.1561323e+01    2.1708252e+01    2.1981120e+01    2.2574259e+01    2.3266473e+01    2.3358763e+01    2.3892183e+01    2.3921545e+01    2.6911092e+01
   2.1569170e+01    2.1708952e+01    2.2061394e+01    2.2581755e+01    2.3291474e+01    2.3465691e+01    2.3905619e+01    2.3967616e+01    2.6993974e+01
   2.1561664e+01    2.1671389e+01    2.1982645e+01    2.2573846e+01    2.3266442e+01    2.3401003e+01    2.3944289e+01    2.3987776e+01    2.6786230e+01
   2.1589554e+01    2.1745285e+01    2.2005788e+01    2.2582773e+01    2.3281636e+01    2.3364377e+01    2.3949353e+01    2.3940909e+01    2.6959226e+01
   2.1646686e+01    2.1710090e+01    2.2046902e+01    2.2547885e+01    2.3329512e+01    2.3426826e+01    2.3918682e+01    2.3934301e+01    2.6870739e+01
   2.1593246e+01    2.1693238e+01    2.2022137e+01    2.2593078e+01    2.3265285e+01    2.3448363e+01    2.3986726e+01    2.3969891e+01    2.7001213e+01
   2.1540095e+01    2.1705744e+01    2.1993338e+01    2.2540177e+01    2.3326088e+01    2.3405882e+01    2.4005824e+01    2.3993880e+01    2.6777310e+01
   2.1556751e+01    2.1707905e+01    2.2026219e+01    2.2556813e+01    2.3320605e+01    2.3425275e+01    2.3923877e+01    2.3980527e+01    2.6820305e+01
   2.1553762e+01    2.1702755e+01    2.1975055e+01    2.2645522e+01    2.3297426e+01    2.3336775e+01    2.3997598e+01    2.3990368e+01    2.6688185e+01
   2.1609271e+01    2.1705508e+01    2.1974417e+01    2.2510032e+01    2.3315367e+01    2.3409456e+01    2.3941305e+01    2.3934414e+01    2.6839292e+01
   2.1571550e+01    2.1724990e+01    2.2026006e+01    2.2606389e+01    2.3276602e+01    2.3368789e+01    2.3924753e+01    2.3983253e+01    2.6766190e+01
   2.1598761e+01    2.1674273e+01    2.1993477e+01    2.2575582e+01    2.3235662e+01    2.3398448e+01    2.3933503e+01    2.3970475e+01    2.6963706e+01
   2.1623988e+01    2.1632462e+01    2.1987575e+01    2.2625821e+01    2.3268576e+01    2.3390524e+01    2.3929922e+01    2.4013356e+01    2.6957776e+01
   2.1564701e+01    2.1705301e+01    2.2031994e+01    2.2575873e+01    2.3324261e+01    2.3330148e+01    2.3875864e+01    2.3960383e+01    2.6851047e+01
   2.1565621e+01    2.1777394e+01    2.2030899e+01    2.2601102e+01    2.3287435e+01    2.3394515e+01    2.3830833e+01    2.3966724e+01    2.7068534e+01
   2.1539903e+01    2.1718157e+01    2.2026094e+01    2.2585623e+01    2.3277765e+01    2.3381451e+01    2.4030518e+01    2.3952133e+01    2.6942775e+01
   2.1552120e+01    2.1752966e+01    2.1974721e+01    2.2575064e+01    2.3277300e+01    2.3457368e+01    2.3863051e+01    2.4042225e+01    2.6707729e+01
   2.1547226e+01    2.1717590e+01    2.1978143e+01    2.2611510e+01    2.3260261e+01    2.3394425e+01    2.3895927e+01    2.3925895e+01    2.6853607e+01
   2.1578554e+01    2.1747226e+01    2.1960040e+01    2.2630515e+01    2.3309936e+01    2.3371084e+01    2.3884817e+01    2.3884313e+01    2.6877286e+01
   2.1549830e+01    2.1699363e+01    2.1998479e+01    2.2578724e+01    2.3274209e+01    2.3311536e+01    2.3909896e+01    2.3974947e+01    2.7039516e+01
   2.1554704e+01    2.1668794e+01    2.1964806e+01    2.2638475e+01    2.3209090e+01    2.3376157e+01    2.3974094e+01    2.3871734e+01    2.7010163e+01
   2.1561646e+01    2.1689100e+01    2.2008748e+01    2.2612527e+01    2.3314701e+01    2.3450210e+01    2.3928543e+01    2.3968441e+01    2.6817100e+01
   2.1611798e+01    2.1660098e+01    2.2022152e+01    2.2517601e+01    2.3254877e+01    2.3357357e+01    2.3855898e+01    2.4013346e+01    2.6825416e+01
   2.1598563e+01    2.1664094e+01    2.2035158e+01    2.2539338e+01    2.3302251e+01    2.3368463e+01    2.3901996e+01    2.4010602e+01    2.6913476e+01
   2.1499174e+01    2.1661448e+01    2.1994711e+01    2.2527859e+01    2.3231640e+01    2.3423740e+01    2.3923240e+01    2.3967370e+01    2.6983255e+01
   2.1572416e+01    2.1718963e+01    2.1953113e+01    2.2545999e+01    2.3304755e+01    2.3411598e+01    2.3925834e+01    2.3970924e+01    2.6793173e+01
   2.1588882e+01    2.1722211e+01    2.1968001e+01    2.2516706e+01    2.3231979e+01    2.3417923e+01    2.3923889e+01    2.3910582e+01    2.6924398e+01
   2.1598933e+01    2.1690721e+01    2.1936985e+01    2.2545110e+01    2.3330791e+01    2.3416648e+01    2.3913373e+01    2.3922647e+01    2.6896555e+01
   2.1586090e+01    2.1706524e+01    2.1998172e+01    2.2590848e+01    2.3264045e+01    2.3442641e+01    2.3955566e+01    2.3921257e+01    2.6817486e+01
   2.1617520e+01    2.1656110e+01    2.1992203e+01    2.2543703e+01    2.3280597e+01    2.3376717e+01    2.3898863e+01    2.3898205e+01    2.6820605e+01
   2.1593134e+01    2.1683072e+01    2.2019960e+01    2.2594247e+01    2.3304511e+01    2.3387939e+01    2.3904850e+01    2.4037391e+01    2.6796343e+01
   2.1573554e+01    2.1714987e+01    2.1977848e+01    2.2571049e+01    2.3317233e+01    2.3381888e+01    2.3875930e+01    2.3965409e+01    2.6886046e+01
   2.1563994e+01    2.1684870e+01    2.1971303e+01    2.2593217e+01    2.3242238e+01    2.3435020e+01    2.3903321e+01    2.3966827e+01    2.6917955e+01
   2.1535899e+01    2.1711645e+01    2.1971073e+01    2.2521564e+01    2.3260881e+01    2.3436234e+01    2.3958634e+01    2.3986128e+01    2.6723677e+01
   2.1533110e+01    2.1690994e+01    2.1996369e+01    2.2662801e+01    2.3322009e+01    2.3438658e+01    2.3922157e+01    2.3971198e+01    2.6915295e+01
   2.1597312e+01    2.1696505e+01    2.1990303e+01    2.2593016e+01    2.3294073e+01    2.3394659e+01    2.3884289e+01    2.3910663e+01    2.6974184e+01
   2.1619405e+01    2.1716721e+01    2.2089111e+01    2.2576899e+01    2.3250399e+01    2.3470501e+01    2.3928050e+01    2.3943096e+01    2.6853095e+01
   2.1528427e+01    2.1715749e+01    2.1975779e+01    2.2533422e+01    2.3236718e+01    2.3369380e+01    2.3905450e+01    2.4019839e+01    2.6812356e+01
   2.1506434e+01    2.1638926e+01    2.1873485e+01    2.2597355e+01    2.3248648e+01    2.3322573e+01    2.3901040e+01    2.3895124e+01    2.6906920e+01
   2.1567212e+01    2.1646832e+01    2.1976693e+01    2.2552216e+01    2.3313658e+01    2.3357746e+01    2.3911606e+01    2.3951188e+01    2.7023455e+01
   2.1573852e+01    2.1733792e+01    2.2013021e+01    2.2572715e+01    2.3276543e+01    2.3354016e+01    2.3974929e+01    2.4035290e+01    2.6933505e+01
   2.1562242e+01    2.1734074e+01    2.1998967e+01    2.2546494e+01    2.3228678e+01    2.3390432e+01    2.3944370e+01    2.3952071e+01    2.6782470e+01
   2.1549387e+01    2.1720025e+01    2.1971162e+01    2.2552545e+01    2.3247248e+01    2.3461247e+01    2.3891939e+01    2.3934978e+01    2.6886558e+01
   2.1623131e+01    2.1690977e+01    2.1937158e+01    2.2639557e+01    2.3235526e+01    2.3413546e+01    2.3947512e+01    2.3889618e+01    2.6790019e+01
   2.1537043e+01    2.1702594e+01    2.2031021e+01    2.2635127e+01    2.3214695e+01    2.3377731e+01    2.3889882e+01    2.3922519e+01    2.6853400e+01
   2.1575685e+01    2.1705800e+01    2.1937790e+01    2.2521713e+01    2.3272459e+01    2.3362481e+01    2.3850583e+01    2.3978793e+01    2.6775037e+01
   2.1542622e+01    2.1684825e+01    2.1976339e+01    2.2600223e+01    2.3287805e+01    2.3404706e+01    2.3859532e+01    2.3957151e+01    2.6782762e+01
   2.1599181e+01    2.1696198e+01    2.2014467e+01    2.2536332e+01    2.3243939e+01    2.3383953e+01    2.3923897e+01    2.3997446e+01    2.6958187e+01
   2.1554726e+01    2.1715837e+01    2.1950693e+01    2.2537431e+01    2.3278692e+01    2.3375234e+01    2.3837220e+01    2.3940869e+01    2.6878386e+01
