# SLTD+BAO Angular distance posterior from GP 
#  redshifts : 0.35, 0.44, 0.57, 0.6, 0.73, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   9.1862449e+02    9.6017076e+02    1.0467797e+03    1.1852192e+03    1.2885117e+03    1.3250308e+03    1.3747078e+03    1.3581797e+03    1.5500286e+03
   9.2565261e+02    9.5758221e+02    1.0329910e+03    1.1827292e+03    1.3328182e+03    1.3615091e+03    1.4580671e+03    1.4512724e+03    1.6157954e+03
   9.7667614e+02    1.0173788e+03    1.1017474e+03    1.2367990e+03    1.4181775e+03    1.4476926e+03    1.5290810e+03    1.5486604e+03    1.6450677e+03
   8.7793425e+02    9.1476896e+02    1.0068356e+03    1.1867624e+03    1.3872863e+03    1.4170210e+03    1.5460088e+03    1.5572704e+03    1.5366221e+03
   9.6717805e+02    9.9605974e+02    1.0585939e+03    1.1981641e+03    1.3648040e+03    1.3946102e+03    1.5305332e+03    1.5148411e+03    1.6529538e+03
   9.3574023e+02    9.5533590e+02    1.0407645e+03    1.1897861e+03    1.4164187e+03    1.4381322e+03    1.5602435e+03    1.5628920e+03    1.7052659e+03
   9.8996654e+02    1.0270777e+03    1.0929375e+03    1.2350086e+03    1.4250352e+03    1.4341886e+03    1.5624229e+03    1.5751941e+03    1.5877875e+03
   8.8245271e+02    9.2249370e+02    1.0158287e+03    1.1943002e+03    1.4252625e+03    1.4658240e+03    1.6225735e+03    1.6014850e+03    1.5086381e+03
   8.9678555e+02    9.3463170e+02    1.0336878e+03    1.2019267e+03    1.4129704e+03    1.4566908e+03    1.5682830e+03    1.5689811e+03    1.5953970e+03
   8.3902133e+02    8.8006440e+02    9.8489833e+02    1.2051129e+03    1.4065740e+03    1.4419195e+03    1.6280935e+03    1.6070329e+03    1.5751572e+03
   9.1402767e+02    9.3672586e+02    1.0094093e+03    1.1661824e+03    1.3857342e+03    1.4126940e+03    1.5350992e+03    1.5244332e+03    1.5841976e+03
   8.7289740e+02    9.1088491e+02    1.0072416e+03    1.1865646e+03    1.3806083e+03    1.4251239e+03    1.5718620e+03    1.5746149e+03    1.6556847e+03
